what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412319680552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412319697875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412319698688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412319751621
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412319765842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412319768232
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412319777238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412319807084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412319814663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412319917158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412319945313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412319948774
error,log,,,"ERROR [2014-10-03 12:35:49,299] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1412319949305
error,log,,,"ERROR [2014-10-03 12:35:49,305] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1412319949310
error,log,,,"ERROR [2014-10-03 12:35:49,310] (AstUtils.java:getLength:339) - Unable to compute length\r\n",1412319949314
error,log,,,"ERROR [2014-10-03 12:35:54,318] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1412319954323
error,log,,,"ERROR [2014-10-03 12:35:54,323] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1412319954327
error,log,,,"ERROR [2014-10-03 12:35:54,327] (AstUtils.java:getLength:339) - Unable to compute length\r\n",1412319954332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412319957915
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1412319958947
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1412319958968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412319969646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412320081677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412320103568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412320109237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412320217554
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412320236591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412320242564
error,log,,,"ERROR [2014-10-03 12:40:43,385] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1412320243390
error,log,,,"ERROR [2014-10-03 12:40:43,390] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1412320243395
error,log,,,"ERROR [2014-10-03 12:40:43,395] (AstUtils.java:getLength:339) - Unable to compute length\r\n",1412320243399
