what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412145494910
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1412145494910
java.specification.name,sysinfo,,,"Java Platform API Specification",1412145494910
java.specification.vendor,sysinfo,,,"Oracle Corporation",1412145494910
java.specification.version,sysinfo,,,"1.7",1412145494910
java.vendor,sysinfo,,,"Oracle Corporation",1412145494910
java.version,sysinfo,,,"1.7.0_51",1412145494910
java.vm.info,sysinfo,,,"mixed mode",1412145494910
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1412145494910
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412145494910
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1412145494910
java.vm.specification.version,sysinfo,,,"1.7",1412145494910
java.vm.vendor,sysinfo,,,"Oracle Corporation",1412145494910
java.vm.version,sysinfo,,,"24.51-b03",1412145494910
started,bundle,com.salesforce.ide.api,28.0.1.201309101331,"com.salesforce.ide.api",1412145495623
started,bundle,com.salesforce.ide.core.compatibility,28.0.1.201309101331,"com.salesforce.ide.core.compatibility",1412145500264
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,28.0.1.201309101331,"com.salesforce.ide.core.compatibility.auth.platformdb",1412145500291
started,bundle,com.salesforce.ide.core,28.0.1.201309101331,"com.salesforce.ide.core",1412145500445
started,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1412145500692
started,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1412145500716
started,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1412145500752
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1412145500803
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1412145500807
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1412145500914
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1412145500916
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1412145501009
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1412145501197
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1412145501201
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1412145501202
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1412145501296
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1412145501305
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1412145501322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412145519186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412145749818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412145750864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412145753942
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1412145759550
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1412145760716
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1412145760723
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1412145760752
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1412145760753
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1412145760809
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1412145760813
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1412145760827
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1412145760831
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1412145760910
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1412145760914
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1412145764363
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1412145767163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412145772464
error,log,,,"ERROR [2014-10-01 12:13:30,621] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce Connected Apps' [0A3F0000000EXbYKAW] - skipping component generation\r\n",1412145810624
