what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412083448229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083449601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083453949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1412083459100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083465945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083466705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412083468574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083479297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083495085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083505232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083514732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083520880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083522339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083523040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083534315
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412083558776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083570664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083580435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083602302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083602547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083602743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083602962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083603158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083603379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083603546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083603749
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083603974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083604469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083606725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083606981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083607176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083611175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083611894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083612116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083612339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083612982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412083613235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412083615013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083623768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083717037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083719639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083768235
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412083770130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412083782048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083865622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412083870547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412083881336
