what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412180784471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412180785172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412180846337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412180898388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412180915810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412180927563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412180935726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412180977189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412180979337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412181004629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412181017492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181019929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412181024965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181028073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181036344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181037555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181088447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181093778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181097277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181101945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412181113620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181120570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412181127156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181132297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412181133661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181141465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181237239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181237856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181282535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412181321760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181323191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181359165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181365615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181418580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1412181429489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412181431065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181453639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181498530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181515871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412181567985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1412181595188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181603766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412181604977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412181647649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181650677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412181678160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412181683447
