what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412331522311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412331600253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412331654134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412331882556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1412331994892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412331997590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412332003495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332004387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332031163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332032587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332752142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332754342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332755253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332761749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332775616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412332783090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412332805776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412332810022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332813254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332853669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412332859685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412332887967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412332890693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412332904320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412332906676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1412332919112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412332931103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412332935270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332952922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1412332952956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412332966618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333012895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333016143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333018628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333024228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333030484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333032459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333037545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333038459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333042663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333049049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333076782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333079634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333085299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333228852
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412333232985
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412333261706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333270506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333297617
activated,editor,com.salesforce.ide.schemabrowser,28.0.1.201309101331,"com.salesforce.ide.schemabrowser.schemaBrowser",1412333299731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333312218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333316784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333316800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333316912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333332504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333333684
opened,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.runTest",1412333342989
activated,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.runTest",1412333343029
opened,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.debugLog",1412333347440
activated,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.debugLog",1412333347458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1412333347458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333396614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333406130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333409132
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1412333427382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333463435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333465131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333468619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333492554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333493482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333496703
activated,editor,com.salesforce.ide.schemabrowser,28.0.1.201309101331,"com.salesforce.ide.schemabrowser.schemaBrowser",1412333498519
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412333501331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333508240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333514185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333516711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333519900
activated,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.debugLog",1412333524169
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333528522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333538042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333540904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333543375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333543556
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412333547252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333559024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333624778
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333632973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333647129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333651407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333653360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333654535
activated,view,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui.view.debugLog",1412333655870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333658695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333663174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412333667033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412333672906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412333673975
