what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413180125006
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180126742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180169559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180448008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180448997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180479570
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180481299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413180488319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180490547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180522723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413180586702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180589779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413180610524
error,log,,,"ERROR [2014-10-13 11:40:10,740] (MetadataOperationsRetryAspect.java:metadataOperationsRetry:24) - ForceRemoteException occurred while attempting to perform a metadata operation\r\n",1413180610743
error,log,,,"ERROR [2014-10-13 11:40:10,746] (PackageRetrieveService.java:retrieveWork:1065) - Unable to retrieve components: UnknownHostException: aviacode--Default.cs8.my.salesforce.com\r\n",1413180610749
error,log,,,"ERROR [2014-10-13 11:40:10,751] (BuilderPayload.java:loadPayload:200) - Unable to perform conflict check\r\n",1413180610756
error,log,,,"ERROR [2014-10-13 11:40:10,756] (BuilderController.java:handleException:143) - Unable to perform save on all files.\r\n",1413180610760
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1413180625083
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180630271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180633092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180634847
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180634986
closed,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180634987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1413180635037
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1413180643542
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180646474
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180646589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413180651659
error,log,,,"ERROR [2014-10-13 11:40:53,991] (MetadataOperationsRetryAspect.java:metadataOperationsRetry:24) - ForceRemoteException occurred while attempting to perform a metadata operation\r\n",1413180653996
error,log,,,"ERROR [2014-10-13 11:40:54,001] (PackageRetrieveService.java:retrieveWork:1065) - Unable to retrieve components: UnknownHostException: aviacode--Default.cs8.my.salesforce.com\r\n",1413180654005
error,log,,,"ERROR [2014-10-13 11:40:54,006] (BuilderPayload.java:loadPayload:200) - Unable to perform conflict check\r\n",1413180654054
error,log,,,"ERROR [2014-10-13 11:40:54,054] (BuilderController.java:handleException:143) - Unable to perform save on all files.\r\n",1413180654058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413180664685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180666901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180667812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180668623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180678574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180682534
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413180687768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180706891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180707863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413180709348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1413180728736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180739587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180739799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180744598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1413180746490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413180749052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180750273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413180766166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413180767149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413180771180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180775122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180779154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413180782146
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413180783045
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180790215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180795612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180832778
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1413180835296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180840068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180921787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180928289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180979809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413180992296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413181119106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413181126427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1413181130569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181132802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181133198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181133582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181133806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181133966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181134094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181134238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181134382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181136882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181137038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181156434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181156829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181157229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181157389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181157533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181157661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181159711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181160078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181160289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1413181160462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413181167400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413181173297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413181186433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1413181190221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413181205849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413181207330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413181222674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413181234952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413181294310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413181301721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413181305206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1413181313893
error,log,,,"ERROR [2014-10-13 11:51:54,796] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1413181314801
error,log,,,"ERROR [2014-10-13 11:51:54,801] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1413181314805
error,log,,,"ERROR [2014-10-13 11:51:54,805] (AstUtils.java:getLength:339) - Unable to compute length\r\n",1413181314810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413181339188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413181366790
error,log,,,"ERROR [2014-10-13 11:52:55,854] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1413181375859
error,log,,,"ERROR [2014-10-13 11:52:55,859] (AstUtils.java:getOffsetFromRowColumn:231) - Unable to compute offset\r\n",1413181375864
error,log,,,"ERROR [2014-10-13 11:52:55,864] (AstUtils.java:getLength:339) - Unable to compute length\r\n",1413181375868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413181380309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1413181408821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1413181422057
