what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259489483
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259489535
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1412259489601
opened,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259500207
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259500233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259500537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259500848
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259524723
opened,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259531688
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259531705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259531985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259532146
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259539961
opened,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259542183
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259542199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259542482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259542641
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259557097
opened,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259560599
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259560617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259560913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259561061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259567963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259589982
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259592751
opened,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259595264
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259595280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259595575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259595703
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259612495
opened,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259613584
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259613598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259613879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259614006
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1412259619768
opened,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259628265
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259628279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259628559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259628690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412259634540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259637424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259639286
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259639914
closed,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259639914
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259641835
closed,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259641835
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259644060
closed,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259644060
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259645276
closed,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259645276
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259646383
closed,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259646398
activated,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259647239
closed,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259647240
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412259648931
closed,editor,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare.CompareEditor",1412259648931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1412259653062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412259666051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412259686612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412259715570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412259732961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259736329
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259788753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259789584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259790484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259793456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259896325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259915991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259922619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259965207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412259999073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260062176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260104474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260148022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260179935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260226310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260337241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260349485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260350701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260351212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260832580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412260834489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261011305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1412261046656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1412261052615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412261055290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261064696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261067168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261067639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261287000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261287367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261287479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261328469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261392077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261400445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261610172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261679587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261747069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261926978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412261949093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412262001330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264340616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1412264399835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264407393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264409023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412264410308
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1412264422604
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1412264425753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412264428966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412264445967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412264453073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264462296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264513591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264554287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264555626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264556055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264640672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264650478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264652867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264702390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264712174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264737310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264749895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264832989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264847934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264849621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264914876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264957124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264963188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412264969548
