what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1412313856912
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1412313856913
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1412313856923
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1412313856939
os,sysinfo,,,"win32",1412313856948
arch,sysinfo,,,"x86_64",1412313856948
ws,sysinfo,,,"win32",1412313856948
locale,sysinfo,,,"en_US",1412313856948
processors,sysinfo,,,"2",1412313856948
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412313856948
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1412313856948
java.specification.name,sysinfo,,,"Java Platform API Specification",1412313856948
java.specification.vendor,sysinfo,,,"Oracle Corporation",1412313856948
java.specification.version,sysinfo,,,"1.7",1412313856948
java.vendor,sysinfo,,,"Oracle Corporation",1412313856948
java.version,sysinfo,,,"1.7.0_51",1412313856948
java.vm.info,sysinfo,,,"mixed mode",1412313856948
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1412313856948
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412313856948
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1412313856948
java.vm.specification.version,sysinfo,,,"1.7",1412313856948
java.vm.vendor,sysinfo,,,"Oracle Corporation",1412313856948
java.vm.version,sysinfo,,,"24.51-b03",1412313856948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412313856952
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1412313856989
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1412313857047
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1412313857150
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1412313857193
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1412313857217
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1412313858245
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1412313859062
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1412313859877
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1412313859992
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1412313860109
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1412313860753
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1412313861987
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1412313861988
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1412313862197
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1412313862309
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1412313862526
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1412313863166
started,bundle,com.salesforce.ide.api,28.0.1.201309101331,"com.salesforce.ide.api",1412313867700
started,bundle,com.salesforce.ide.core.compatibility,28.0.1.201309101331,"com.salesforce.ide.core.compatibility",1412313876689
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,28.0.1.201309101331,"com.salesforce.ide.core.compatibility.auth.platformdb",1412313876725
started,bundle,com.salesforce.ide.core,28.0.1.201309101331,"com.salesforce.ide.core",1412313877367
started,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1412313878033
started,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1412313878091
started,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1412313878173
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1412313878470
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1412313878617
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1412313879580
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1412313879796
